,comment,majority_vote_final,index
354,next time please genesis gv80,neutral,354
355,It’s not fair to compare Porsche and Audi to Vw as they’re all Vws �,neutral,355
356,Toyota,neutral,356
357,Non of them will last 10 years. X5 and GLE will go out in 5 probably a bit more.,neutral,357
358,That's why I will buy X4 instead of GLC,neutral,358
359,No Volvo?,neutral,359
360,"Funny how people who can't afford any of these complain about the price of the Touareg, an amazing car.",positive,360
361,Having the mean looking BMW close up on me in the rear mirror would be the only time i would move out of the way instead of speeing up. Its psychologically intimidating. I love it!,positive,361
362,These cars are getting too damn expensive,negative,362
363,"Ok con su veredicto, pero déjenme el PORSCHE❤",positive,363
364,Real name vw vs Mercedes vs bmw,neutral,364
365,Unfortunately all of those SUVs have too many problems for the price. As family car I would not recommend . Better get a Japanese SUV.,positive,365
366,Waiting for drag race,neutral,366
367,Do starter SUV like gla or x1,neutral,367
368,we want to see megél more times 11:30 look at that beard,positive,368
369,BMWWWWWWWW,neutral,369
370,Porsche wins,positive,370
371,"MFers at VW want 90k for a tuareg??✋��..... It is supposed to be the ""PEOPLE'S CAR"" right?",neutral,371
372,"I owned a Q8 and did a similar evaluation in Q1.
The new Q8 is basically the same as the old. Same with the Q7.
The Touareg is OK but to expensive for what it is.
The Cayenne was also very expensive and not the best car to buy in my line of work. I also wanted a diesel.

The GLE and X5 remained.
After testing both, the X5 turned out to be the best luxury SUV on the market (for my budget at least).",positive,372
373,"Мерседес�
Бмв�
Порше�
Фольксваген ��
Ауди�",neutral,373
374,Bro its bmw vs mercedes vs porsche vs porsche cheap vs porsche mid,neutral,374
375,5:58 this had me dying,neutral,375
376,Isnt bmw the newest tho?,neutral,376
377,"The VW costing more than an Audi is the height of it, but this Touareg design is extremely Beautiful, VW could invest in better finishes than the competition, after all the values are extreme",positive,377
378,"Where is the Range Rover Sport, or any Land Rover for that matter??",neutral,378
379,We got a 2024 Q7 55 tfsi gas Premium Plus and love it!,positive,379
380,"You’ll own nothing and be happy. 
These cars have become stupid expensive and the quality is not good. 
They are meant to be leased, not bought. 
No one, but the richest, will own a car",negative,380
381,I prefer the Mercedes gle❤,neutral,381
382,Not good video,negative,382
383,ive bought cheaper houses than this ugly bunch of over-sized monstrosities,negative,383
384,Litterally 3 of the cars are owned by vw group���,neutral,384
385,"Hmm. Shoud test VW diesel. Price with full, full pack 77k Eur. All other tested with same options more than 100k + very expensive insurance and everyone is stealing parts from them. So winner is. VW not others. But I prefer KIA Sorento 2024 diesel it’s best price value performance �",positive,385
386,5:53 ��,neutral,386
387,The Mercedes and Volkswagen is the best for me ❤,positive,387
388,Should really have Volvos in these comparisons too,neutral,388
389,why can none of them manage to fold down seats properly lol,neutral,389
390,BMW �,neutral,390
391,absolute euro junk...avoid like plaque!,neutral,391
392,BMW,neutral,392
393,Do tiguan vs audi q3 vs mercedes gla vs bmw x3 please,neutral,393
394,Only AUDİ ⭕️⭕️⭕️⭕️ quattro ����,neutral,394
395,"I would personally like to see Volvos, Toyotas, Lexuses, ...",neutral,395
396,The audi q7 is the best if it has petrol ingine with lots of power and more luxury interior,positive,396
397,Remove audi & vw ...they are lower level ...,neutral,397
398,Porsche,neutral,398
399,!!!,neutral,399
400,VW Cayenne vs VW Q7 vs VW Touareg vs BMW X5 vs Mercedes GLE ��,neutral,400
401,Running out of ideas Mat?,negative,401
402,Porsche anyday,positive,402
403,Touareg vs Touareg-luxury vs Touareg-sport vs gle vs x5,neutral,403
404,"Can you please do a video on the SQ8, SQ7, SQ6 e-tron, SQ5 and RSQ3?",neutral,404
405,Conclusion: Evs and hybrids are pos. Get the good ol diesel,positive,405
406,Way lexus not hier,neutral,406
407,So the Porsche has borrowed Prius gear selector �,neutral,407
408,I think the older generation of these cars have much better Interiors especially the Porsche,positive,408
409,Gle looks amazing wow. Hoping the new face lift doesnt ruin it,positive,409
410,"slamming doors, how 1990s.. these cars.. should all have soft close.",neutral,410
411,"........................... ALL are Euro Headaches!!!....... & will DEPRECIATE.....YEP you will LOOSE 50 to 60K of REAL money in 2 to three years..on these dogs!..Wake up!
Get a LEXUS and Sleep restfully not worrying if you will make it to that Hospital Emergency!......    Remember the #1 Luxury is  ""   DEPENDABILITY  ""!!!!",negative,411
412,"Thought I was the only one who liked the sound of closing new car doors, i dont own any new car by the way�",positive,412
413,Porsche is the only vehicle with a decent amount of horsepower.,neutral,413
414,Merc is ugly exterior,negative,414
415,Volvo!,neutral,415
416,Where’s the range,neutral,416
417,"Hey, I would love to see you reviewing Indian Cars, specifically VW Virtus. @carwow",positive,417
418,How about Lexus?,neutral,418
419,Why tf is a VW here? LMAO,negative,419
420,Porsche audi vw ？ no    vw vw vw yes�,neutral,420
421,Who's got 80/90k to flush down the toilet on a box with four wheels??????? Does nobody understand that in five years time it will be a sub 25k mistake and that's only if its got less than 50k miles on the clock!!! Sorry screen if it still works.,negative,421
422,I'll take a Li Auto L9 :),positive,422
423,https://youtu.be/85B_u0-0Qpc?si=w0fSexKLPDz_8GLy,neutral,423
424,"Did you seriously just say the Mercedes looked the best and with all the chrome trim??? Or were you shopping for your Mum, Matt? Gr. Mum??",positive,424
425,They really live up to their name of being the ultimate driving machine,positive,425
426,We need carwow in the US please!!,neutral,426
427,"Toureg  USA!!! I bought a Phaeton when they first came out, do you think they would send one to me ?",positive,427
428,"You should have taken SQ7, not the slowest Q7 of all.",neutral,428
429,should have included a volvo ex90,neutral,429
430,Where is the Lexus RX 500h?,neutral,430
431,X5 is truly a great piece of engineering.,positive,431
432,Matt has been a BMW fan long time ago I'm not suprised he chose X5 while Audi Q7 was the best,negative,432
433,Hayatım boyunca Süremeyeceğim ve alamayacağım araçları izlemek eziyet gibi geliyor,neutral,433
434,I don’t know why the VW and Audi are here. They aren’t luxury brands.,negative,434
435,Honda or Toyota are way more reliable and cheaper.,positive,435
436,bro likes the bmw more so he put it before the audi q7. like wtf,neutral,436
437,Drag race the techart Porsche !,neutral,437
438,24:25 for the drag race,neutral,438
439,Now do the GLE53 AMG hybrid�,neutral,439
440,Should’ve added the GV80,neutral,440
441,You forgot the Range Rover Sport,neutral,441
442,£89k for a v-dub......hilarious,negative,442
443,The tesla plaid being absent says a lot about the results�,neutral,443
444,buy sq7,neutral,444
445,911k views,neutral,445
446,Couldn’t care less about SUVs,negative,446
447,Mercedes Benz,neutral,447
448,Mercedes ❤,neutral,448
449,"Is it just me, or does the leather on the Mercedes look kind of nasty. The grain looks unnaturally large.",negative,449
450,"so the Audi won, sweet",positive,450
451,Porsche�,neutral,451
452,The back door Aeeeee�,neutral,452
453,90k for a W���,neutral,453
454,Correct verdict �,positive,454
455,"He doesn't want to admit that mercedes won the race , he even want the fastest version of the bmw �  should have used the fatest version �� always complaining",negative,455
456,Matt is always lying though ��,neutral,456
457,Why I had a feeling bmw will win?,positive,457
458,niuce,positive,458
459,Born e Soweto Bara...i won't be surprised  she thinks  Bara is in Small street.,neutral,459
460,3 VWs vs BMW vs Mercedes ��,neutral,460
461,Even before I watched it I knew bmw will win it �,positive,461
462,Matts spot on about Merc interior and cheap leather! Owned one and done my head in,negative,462
463,Better off with a 10 year old SUV and buying new parts and a service,positive,463
464,"All of these are not good, get a Tesla",negative,464
465,BMW always wins these comparisons because its awlays the BESTTTT,positive,465
466,Yaa we know you Re audi liker.. so stop momping ����,negative,466
467,Would rather have a Alfa Romeo stelvio ❤,positive,467
468,Gimme audi all day,positive,468
469,Shouldn’t the Audi in this comparison/segment be the Q5?,neutral,469
470,i see 3 vws tho,neutral,470
471,New speed limiters in Europe and the UK are switchable by the driver. But limiter is turned on each time the car is turned on.,neutral,471
472,"“The luxury test”, this is too funny ��",positive,472
473,“Have the made them out of strotums” ���,neutral,473
474,In the end which car is the best?? Answer- The German one,positive,474
475,"23:54 ""And now the Mercedes is cumming"" Say what? LOL",positive,475
476,WV Audi and Porsche has the same coolant tank in the same place :D,neutral,476
477,"This test proves that the only Porsche that is worth the price and has much better attributes is the 911... the other Porsches cannot have as good a price/quality ratio as Audi, BMW and Mercedes...",positive,477
478,I’ll keep my Volvo XC90,positive,478
479,I know that BMW will be the winner before I see this video,positive,479
480,Since when VW is a luxury SUV?,neutral,480
481,Probably should've done the Lexus too,neutral,481
482,Finally i got all cars that im intrested in one video. Thank you Matt,positive,482
483,All these cars lighter than the new M5…,neutral,483
484,"Vw, Audi los mejores",neutral,484
485,How did it happen that Audi is cheaper than Volkswagen in the base?,negative,485
486,"should atleast compare similiar engines so its a like for like, ones petrol, ones hybrid, ones a lower power diesel whilst the other is a model above, either put all basic, mid range or top spec to give a more accurate  like for like",positive,486
487,Has to be the bmtroubleyou doesn't it,neutral,487
488,@carwow: The X5 can be optioned with electrically slidable and reclining rear-seats. It’s included when you spec it as a 7-seater.,neutral,488
489,"That video would've made sense if all the cars had the same engine. Mindblowing, right?",negative,489
490,That Volkswagen looks so sick ��,positive,490
491,Sq7,neutral,491
492,Get the x5m,neutral,492
493,"Why bother reviewing other car brands . Every test M Watson does he chose bmw  as the best 
He must be sponsored by them … its  so predictable",negative,493
494,I don't see the best SUV there,positive,494
495,I can’t help watching this and thinking “look at all these electronic trinkets just waiting to malfunction”.,neutral,495
496,Really you are only comparing 3 different cars,neutral,496
497,So many comments about the Touareg price but nobody is acknowledging that it was the 2nd fastest suv here. May be my bias as an owner of one but I choose vw �,positive,497
498,"Audi would be my choice of car. Practical, comfortable and well built.
Second, be the VW. Then the Porsche.
I don't see myself having the Merc nor the BMW.",positive,498
499,Grabbing the aliens head lol,positive,499
500,What a ridiculous conclusion.�,negative,500
501,"Not one of them is on top, Toyota, and Lexus are the best",positive,501
502,If you're going to review Porsche maybe you should learn how to say it correctly It's A Man's last name for God's sake,neutral,502
503,"All to expensive for what,  and what is the 5 year repair Forcast, and average cost of repair for each car,,,these are sucker mobiles or for non car people who just buy a car for 2 three years and change up,,,no my style to supply billionairs with more money",negative,503
504,have they made it from ball sacks,neutral,504
505,That GLE has already had a scratch and shine wash,neutral,505
506,"Mercedes interior quality is really hitting rock bottom, aren't they?",negative,506
507,Q7 �,neutral,507
508,"Why should any of this surprise anyone? All three (VW, Porsche, Audi) are literally the same car, even the Bentley and Lamborghini suvs are off the same platform. The Benz is gaudy with crappy interior and the BMW is as always the best driver for the money. BMW is at the top of their game with best quality interior also..plus it is made in the USA!",positive,508
509,"Vw is the best second is Porsche and third is bmw and the Q7 is crap because it's too plastic and every Audi is the same inside, and the Mercedes has fake exhausts and plastic inside, do I need to list more?",positive,509
510,touareg is better get it used not new� 100k for a touareg is crazy,negative,510
511,missing RX and XC90,neutral,511
512,Who buys smoking oil burners these days?!?,neutral,512
513,"Landrover Discovery?
Rangerover Sport?",neutral,513
514,Thank you matt Watson for being onest about the bmw.   I will choose that bima all day long,positive,514
515,I will take the bima all day long ���,positive,515
516,The answer is easy…. None of them is best (for the road) because they are agricultural vehicles.,negative,516
517,100k for a family wagon? Perhaps I'm old but the world has gone mad!,negative,517
518,We all know someone who says : well i have testet the bmw but wait until you try the Mercedes,neutral,518
519,think the bmw  won the ugly test,negative,519
520,To me based on your video its an easy win to Mercedes!,positive,520
521,The German SUV wins ....,positive,521
522,I'm very happy with my 396ps 800nm Alpina XD4.Has to be the best diesel engine available,positive,522
523,Volvo not big in the UK?,neutral,523
524,Who on EARTH IS PAYING £90K for a V6 VW SUV?,negative,524
525,"Not the M BMW , so sorry, not interested…",negative,525
526,The XC90 T8 is the best bang for buck SUV,positive,526
527,"The leather in the GLE looks soooo cheap, jesus",negative,527
528,"Tag team…three VWs
Looks wise I’d go for the toureg and the bmw",positive,528
529,BMW love the rear end,positive,529
530,Volvo XC90??,neutral,530
531,VW?! Why is Genesis GV80 not in this?,neutral,531
532,AUDI PORSCHE VW BMW BENZ ❤❤❤���,neutral,532
533,@carwow - what about Volvo XC90? Or that doesn’t compare ?,neutral,533
534,"Why the heck to compare the most expensive (and restricted) Touareg with the others? It will leave a margin to gain for others, if ICEd only�",neutral,534
535,"See and learn how this theatre acting, gentle  and raw words on right place and timing this guy is using.  Drom chosen cadre and angle to chosen interior, All followed by political aporoach. No money no music �.",neutral,535
536,whos spending 89k on a VW �,negative,536
537,Porsche boy cant get past badge snobbery.,negative,537
538,"So the GLE has better engine, better ride quality, better rear legroom but X5 won?",positive,538
539,XC90 is missing in this test!�,neutral,539
540,Xiaomi su7 and ultra solo then all,neutral,540
541,Why are they all SUVs?,neutral,541
542,"Pointless to hire to a racecar driver to press a button that says launch,  wait for some shouts, then push the gaspedal,  drive for 20 seconds straight ahead on a deserted runway.",negative,542
543,Finally the best looking BMW out of them all SUVs.,positive,543
544,Where’s lexus,neutral,544
545,i can only see 3 cars here...,neutral,545
546,None of them.,neutral,546
547,BMW THE BEST ��,positive,547
548,Really like the more prominent satirical component and the on point complaints packed with a bunch of humor. Good Style:),positive,548
549,Why didn’t you compare them with similar engine setup? All plugins for example �,neutral,549
550,In depth wow car wow. Wow this is awesome. Im waiting for the tiguan,positive,550
551,"used the wrong Cayenne IMO , needed the V8 twin turbo . Who wants a hybrid Porsche ?",negative,551
552,BMW fanboy strikes again...,negative,552
553,"The reality is that people don't need these cars, only their egos do.",negative,553
554,Why do we want a diesel when getting one of these?,neutral,554
555,why Miguel have 2 glasses on?,neutral,555
556,BMW�,neutral,556
557,All are junk.,negative,557
558,Same platform same engine different tuning Insane prices�,negative,558
559,"I wish the US got the new version of the Touareg, the atlas is a load of crap",negative,559
560,Nice watch,positive,560
561,Three of the cars are made by the same company.,neutral,561
562,The merc clearly has a nicer interior than the bmw. BMW looks very plastic. Plus bmw has copied the Mercedes layout.,positive,562
563,"Thank god for aftermarket wheels! I'm talking to you, porsche. Great content as always �",positive,563
564,�Leather made from scrotums is crazy,negative,564
565,"Dear Mat, may we please get a rematch for us BMW fanboys. The M5CS vs The RS7 performance please",neutral,565
566,I had no clue doorgasm was a thing,neutral,566
567,"Is the deployable tow hitch a UK only option? I asked the Porsche dealer here in the US, they have no idea if such option exist.",neutral,567
568,I just want a SUV that's 4wd and has a manual transmission while looking new and stylish,neutral,568
569,I think the best one is the VW Touareg here because it’s the best Looking Car an it’s fast,positive,569
570,Mat please the Touareg has soft close nana,neutral,570
571,Missing - Maserati Levante ... should have been in this test .... why not ?? �,neutral,571
572,Nope!! Don’t care for any of them,neutral,572
573,The audi and the toureg are the best value and very well rounded SUVs,positive,573
574,Half a million quids worth in those 5 cars! Must have to have a screw loose to order them new at those prices! lol,neutral,574
575,For once I agree 100% yet cannot buy any of the cars,neutral,575
576,Rather have a fully loaded XC90,positive,576
577,BMW’s are so ugly nowadays wtf happened,negative,577
578,More electrics More problems!,negative,578
579,3 Volkswagen 1 Gelly and 1 BMW,neutral,579
580,"I love how the ""luxury"" test is based on a VW Golf advert �",positive,580
581,If you can get an F1 car then you can get an indycar and you should race that,neutral,581
582,"You should compare not the newest Touareg, you better pick the older one 2021",neutral,582
583,Volkvqgen vs volkswagen vs volkswagen vs volkswagen �,neutral,583
584,BMW for the win,positive,584
585,Haha Matt has to be the biggest Mercedes hater there is,negative,585
586,"Which is best...none of them, they are all overpriced busses.",negative,586
587,Ouawww 26 min for 5 reviews cars perfect �. It’s not annoying and it’s really dynamic. Perfect I love it �. Thanks,positive,587
588,"Audi, the family friendly brand",positive,588
589,"That's not ""people's car"" no more",negative,589
590,Audi looks outdated.,negative,590
591,These SUVs are just fat wagons. Not even close to a SUV.,negative,591
592,I don't no why but why die you comparison Q7 with x5 and gle why not x7 with gls and the Q7 this was more realistic,neutral,592
593,"90k Volkswagen?
Ah yes, the people's car. And we thought they were nuts when the Phaeton came out, lol.",neutral,593
594,"BMW is always winning but Porsche being there I thought not this time,I'm glad it did still�",positive,594
595,Scrotums��,neutral,595
596,When the ZR1 review coming?,neutral,596
597,5:55 ���he never misses,positive,597
598,Can you do a drag race between a mg cyberster and a Tesla Model 3 Performance?,neutral,598
599,0:04 0:03 мерседес всё же лучше,neutral,599
600,"I watch mat talking the ""audi is the best"" and on the end its finish 3rd :(",neutral,600
601,I would take the EV9 over all of these and still keep money for several family holidays,neutral,601
602,13:16 … ‘back door handling’ is VERY important. ���,positive,602
603,8:39 … nothing WEIRD @all,neutral,603
604,"We want drag race between 
Lamborghini Aventador svj vs ford gt",neutral,604
605,"THIS is how you compare vehicles ! Not the ""compilation of old videos"" ! Amen",positive,605
606,"You can get soft close on a Tuareg, just because it’s not on this particular press car doesn’t make it a whole negative point. That’s just typical Carwow , don’t review the actual car , review the spec of the press car and complain about it",positive,606
607,"The air systems that allow these SUVs to lower for ""easy loading"" have never been a sell point for me. If it's not lowering the vehicle by half a foot (or proper measurements like you all do throughout the rest of the world) I don't see the point.",neutral,607
608,"Q7 best car overall, end of story. Bmw 2nd",positive,608
609,3 of them are maide in Slovakia:). German car:)))),neutral,609
610,If there was no bmw in this test it would’ve still won in Matthew’s opinion�,negative,610
611,"In around 17 years time I predict that you will be featuring these exact cars in an off road test, laughing as the bumper is ripped off and chuckling that it has bottomed out over a ludicrously oversized rock and you have lost the sump. Depreciation is savage �",neutral,611
612,"Nice review as usual, disappointed that you didn't include anything from JLR. How would they have compared?",negative,612
613,"Is it just me or the VW and porsche engine bay plus engine, break system, coolant container and a few stuff look the same and the audi also but audi have a kind a different engine and one thing missing are they all same platform?",neutral,613
614,These car prices are so high for what you’re getting. Almost £100k and in 6 months your neighbour will have a newer one with those better LED lights �,negative,614
615,I'd have a secondhand Perodua Nippa.,neutral,615
616,"Why exactly the bmw won I don't know, but I'll take it as a BMW fan.",positive,616
617,Honda,neutral,617
618,"1 BMW, 1 mercedes and 3 volkswagen))",neutral,618
619,Shame no Alfa or Volvo in the video. Both are interesting cars for their own merits.,negative,619
620,Always BMW,positive,620
621,None of them win they are all SUV's BORING.....,negative,621
622,Since when did VW become luxury….,neutral,622
623,What in the fuck did you just say about the best looking car here 5:36,positive,623
624,epic video as always �,positive,624
625,Thumbnail already has all the vehicles ranked in the correct order starting with the best one from the left ��,positive,625
626,Touaregs are supposed to be affordable cars with a lot of the luxuries and tech from Audi but now it's more expensive than a Q7???,negative,626
627,They're all driven by entitled idiots who need their licences taken off them because they don't know the difference between the road and the pavement so it doesn't matter.,negative,627
628,"I will take the Bimma , Porsche, Mercedes, Audi.",positive,628
629,Wrong you could buy a Land Rover discovery. Cheaper and bigger more room.,neutral,629
630,Its got to be hard to compare 5 cars at once and keep everything sorted in your head as to which felt best.,positive,630
631,Why do you hate volkswagen?,negative,631
632,Bmw always ❤,positive,632
633,And best is Volvo,positive,633
634,Watch out for corners with that Audi,neutral,634
635,VW knows how to sell Touareg in different styling,neutral,635
636,Where is Volvo?,neutral,636
637,Ultimate driving machine wins�,positive,637
638,Sf90 vs sf90xx,neutral,638
639,���,neutral,639
640,Audi OOOO the best! :),positive,640
641,"BMW is the best ��
Shut it down",positive,641
642,I think this is the first a Mercedes has won a drag race ��,neutral,642
643,"say what you want about the new BMW styling phylosophy, it has the most soul still",positive,643
644,I just realised Matt is a VW hater �����������������������������������������,negative,644
645,I don’t care which is best but the Audi and BMW are too hideous to look at every day so they lose.,positive,645
646,You should have also putted the ford explorer 457hp!,neutral,646
647,"I haven’t seen this video yet but I’m sure that Benz is the worst over priced trash, and the VW is a beauty.",negative,647
648,"It's always fvking bmw, Mat is a bmw fanboy, that's confirmed",negative,648
649,"Love it or hate it,Mercedes will always make an entrance wherever ever you go",positive,649
650,Audi for the win!! Who’s with me?,positive,650
651,"Im more curious to know, what kind of mental illness you gotta have to spend 90k for something with a VW badge �",negative,651
652,You don't really need anything more than a Touareg.,positive,652
653,nothin' wrong with a reach-around Mat,neutral,653
654,Idk what you guys think but i think Cayenne looks like it’s from 2010’s. Very outdated front,negative,654
655,"90.000 £ for a tuareg, bruh �",negative,655
656,What the hell is going on in the comments,neutral,656
657,❤❤❤❤,neutral,657
658,"BMW is ugly, any of those apart of BMW for sure",negative,658
659,All those cars still lighter than m5 �,neutral,659
660,"Great to see a head to head comparison, this is why I subscribed in the first place",positive,660
661,"So the audi is the best car all round (something unless youre rich and have money to throw away you're going to want), but doesn't win because in matts opinion its not the best looking? Crazy times",positive,661
662,As Volvo guy where is the XC90?,neutral,662
663,Carwow videos are the best �,positive,663
664,Tesla,neutral,664
665,Missing a LR and a Volvo in the comparison,neutral,665
666,Use Q8 Sir,neutral,666
667,I love reviews more than drags! Thanks mattt!!,positive,667
668,GLE FUCKS easily.,positive,668
669,That is one dense episode! Great���,positive,669
670,"The BMW has by far the smallest knee room, even smaller than in the X3.
It just doesn't show because Mat has very short legs.",neutral,670
671,Well the vw is really worth the price… it is a verry good car good quality and better than Those bmw and merc … and its a good engine,positive,671
672,"Why is VW even considered for this comparison? They are not even premium class, you have Audi and Porche as their premium members (built on a same platform).",negative,672
673,Audi is clearly overall most practical for day to day use. Or you can buy a badge. But can you be honest with yourself?,positive,673
674,three VW vs merc and bmw,neutral,674
675,The GLE is literal poo. So cheaply made. It's a horrible car.,negative,675
676,"With the price of some of these cars I'd need what I paid for it stuck on the back window because no one will believe it!. Or maybe that would just leave me open to ridicule? German made cars the ticket price is only the staring point. 
Sales Assistant.....""But you will NEED these £25,000 of extras before you can drive it away""",negative,676
677,All way too expensive.  Don't buy any of them!,negative,677
678,"Speed - Porsche 
Luxury - BMW 
Fuel economy, affordability- VW",neutral,678
679,What happened at 0:14?? Looks fine to me,neutral,679
680,Id have a polestar 3 over any of these,neutral,680
681,Why is the audi back door panel looks 90% like the 2014 audi a6�,neutral,681
682,Iets been over a year since you guys raced the Ferrari SF90 vs the 3000hp Nissan Patrol. And the Nissan shit it self in the video and you said you would do it again when it was fixed. But its been over a year now. Whats happening with that?,neutral,682
683,eboladrome,neutral,683
684,Imagine paying about 90k for a vw ����,negative,684
685,$90k for a VW......�,negative,685
686,"This was a bit of a joke, clear bias towards the Merc and BMW, I love how Matt and CW have transformed car reviews and testing but they still need to be objective.",negative,686
687,Amazing video. Please do the same on mid size SUV. X3 ETC,positive,687
688,What a bunch of dinosaurs these 5 are,negative,688
689,It should have been an x7 to compare to all the other cars,neutral,689
690,I was wondering what exactly is a Mercedes Jelly.,neutral,690
691,No Lexus?,neutral,691
692,"dude I am 11 how am I gonna sell my car ""just a joke""",neutral,692
693,which shoes is matt watson wearing in this video?,neutral,693
694,�,neutral,694
695,Damn that Touareg is way too expensive,negative,695
696,I want a suv you can sleep in the back  need matt to do the lie down test,neutral,696
697,"These are so old designs, all of them, Q7 and X5 just redesigned, but so little effort went into it.
The interiors are nice, but they are just reused across all models.",negative,697
698,bmw boys are always be like hypocritically unreasonable,negative,698
699,Why do car shows put porsche into this bracket? Anyone who has had a porsche and any other of these brands knows the difference .it's like braised steak and fillet,negative,699
700,If you ask me he should have used an x7 not an x5 they aren’t the same x7 W,neutral,700
701,"the engine bay of the audi, vw, and Porsche is like looking at the same picture�",neutral,701
702,Alfa❤❤❤,neutral,702
703,"9:23 no, they don’t care. They’re on their pads all the trip. Obviously you don’t have kids �. 

They’re not like us.",neutral,703
704,I can’t see what everyone’s talking about�have they removed it? Am I late for the party?!,neutral,704
705,Bimmer���,neutral,705
706,Where is the Lexus �,neutral,706
707,I think audi is best,positive,707
708,That audi q7 as low hp than all cars,negative,708
709,Bmw klar und deutlich ��,neutral,709
710,Bro why brought audi q7 all cars are 5 seater and that audi is 7 seater it's not fair,negative,710
711,Toureg looks best,positive,711
712,All are ugly and all are overpriced. I’d buy a Genesis GV 80 for less and it looks better,negative,712
713,"BMW ❤❤❤, thanks for sharing",positive,713
714,Was the over take button pushed and S+ selected on the Porsche during drag racing?,neutral,714
715,Porsche Cayene the ugliest car in the world,negative,715
716,Very Audi Biased��,negative,716
717,Without looking at the video yet already knew bmw won,neutral,717
718,90k for a Volkswagen? Really?,negative,718
719,"None of the X5 tests of Carwow revealed that X5 has the smallest legroom in the second row from all tested vehicles, even smaller than the current X1. This effectively disqualifies it for families with grown-up kids.",negative,719
720,"Wow, £4K off.",positive,720
721,@carwow why is there no volvo Xc90 T8,neutral,721
722,"Wonderfull carwow video, need more like thsisss",positive,722
723,So we have all German cars of the which 3 are from one group ... VAG. Why no RR Velar or Sport? Or perhaps Lexus RX.,neutral,723
724,"In this order ��
1. Porsche Cayenne Turbo GT Coupe
2. BMW X6M
3. Mercedes GLE63 AMG Coupe
4. Audi RSQ8
5. Acura MDX Type-S",neutral,724
725,I wonder how the Range Rover & Ford Explorer ST would do,neutral,725
726,None of these cars out of warranty is exciting. The Merc has the worse re sale value because they cost way too much to keep on the road out of warranty.,negative,726
727,"Мені чомусь Туарег більш за все сподобався, не знаю чому �",neutral,727
728,My favourite collection of cars...just add range raver to make it complete,positive,728
729,At 19:58 was that a cup of coffee that it showed on the Mercedes dash when you hit the gas?,neutral,729
730,Mercedes still sounds better along with audi,positive,730
731,All the best brands,positive,731
732,90k for a vw is ridiculous,negative,732
733,Q8 vs GLE Coupe vs X6 next,neutral,733
734,Why test the diesel versions?,neutral,734
735,The VW is just not there with the BMW,neutral,735
736,"Perfect moment for this video, thank you, very informative. 
I am currently looking which German SUV I should get, I guess BMW it is �",positive,736
737,Would have an Audi Q8 or a GLE coupe,positive,737
738,Porsche,neutral,738
739,That VW is OVERPRICED,negative,739
740,The Touareg has the same problem that the Phaeton did. Hard to pay $90k for a VW,negative,740
741,The best 4WD is the Toyota Land Cruiser followed by the Toyota HiLux.  Your selection are mere toys.,positive,741
742,Is Miguel a man with a beard or a yak?,neutral,742
743,8:00 he's onto something�,neutral,743
744,Cadillac escalade,neutral,744
745,Porsche always beyond Ahead.,positive,745
746,RAF Greenham?  I believe that is the only US Airforce base that has closed so far in the UK.  The Cold War bunkers bring back memories.,neutral,746
747,Why are there no Japanese & Korean vehicles included?,neutral,747
748,Should have included the Cx90. Mighty good ride.,positive,748
749,BMW X5 has the best value for money,positive,749
750,You are a bmw fan �,neutral,750
751,Why not lexus rx500h,neutral,751
752,Bmw is the best,positive,752
753,"Q7 is a competitor with GLS, Cayenne, and Atlas, not Touraeg and GLE, That's why it looks like the better option on here.",positive,753
754,I'll take the Merc over the rest any day. It looks and feels like a luxurious tank!��,positive,754
755,BMW,neutral,755
756,"Beside the Mercedes & BMW, the rest are the same car.",neutral,756
757,After driving a lot of the competition I settled with an SQ8 and I’m absolutely in love with it❤,positive,757
758,These prices are ridiculous,negative,758
759,Overpriced lifted hatchbacks ,negative,759
760,All boring and impractical cars.,negative,760
761,Why you didn’t bring Lexus lx600 f sport?��,neutral,761
762,Whoever speced the x5 they need some work,neutral,762
763,Great comparison Mat!,positive,763
764,"In 1978 when the 3.0 911SC was tested, everyone talked about it's speed.  Quarter mile was slower than every SUV you just tested... 14.8 seconds.",neutral,764
765,Bmw Mercedes Audi Vw no luxe ����� Aston Martin Roll Royce Bugatti Ferrari Lamborghini Bentley �,neutral,765
766,"@carwow 
So you have cut the insane first 20 seconds ��",negative,766
767,"The one benefit of GM's engineering-out quality, is that other car manufacturers have also been able to substantially reduce their quality too, but still stay well ahead of GM products.  Ultimately it's a Win / Win.",positive,767
768,Where’s the Alfa Stelvio??,neutral,768
769,BMW’ are rubbish! It even looks horrendous!,negative,769
770,Why deisle?,neutral,770
771,Which is best? Anything NOT German.,negative,771
772,Miss my £1200 Grandis,neutral,772
773,"I’ll take the X5. Best looks IMO, driving, bulletproof N57 engine and tech. The Xdrive40i is a great one as well.",positive,773
774,crossovers aren't SUVs.,neutral,774
775,The Purosangue and Cayenne are actually the best SUV on this drag race.�,positive,775
776,"Audi, Audi’s best",positive,776
777,German Vs videos,neutral,777
778,Where is Volvos?��,neutral,778
779,You are just a BMW guy,neutral,779
780,And in the end for Matt is always bmw even if there is a ferrari�,neutral,780
781,among these i pick the lexus,neutral,781
782,Porsche looks terribly 2010,negative,782
783,BMW cabin was noisy,negative,783
